fee,heya_kaisuu,shikikin,reikin,no_heya,menseki,toho,age,kaisu
72000,2,0,72000,3,55.39,40,35,6
72000,3,0,66000,3,52.92,40,35,6
43000,2,0,0,1,19,5,33,2
46000,5,0,50000,1,18,5,37,5
46000,5,0,50000,1,18,5,37,5
139000,1,0,266000,1,54.51,3,0,3
139000,1,0,266000,1,53.18,3,0,3
140000,2,0,268000,1,52.99,3,0,3
142000,2,0,272000,1,54.51,3,0,3
142000,3,0,272000,1,52.99,3,0,3
144000,3,0,276000,1,54.51,3,0,3
157000,3,0,302000,2,63.48,3,0,3
38000,3,0,0,1,18,7,36,3
38000,1,0,0,1,18,7,36,3
83000,4,0,0,1,48.06,10,42,4
80000,2,0,150000,3,65.5,10,20,2
85000,2,0,200000,3,65.5,10,20,2
85500,2,0,150000,3,65.5,10,20,2
90000,2,0,200000,3,65.5,10,20,2
64000,1,0,122000,1,32.99,10,5,3
67000,1,0,0,1,32.99,10,5,3
67000,3,0,62000,3,65.85,12,35,9
74000,5,0,100000,3,61.11,12,35,9
70500,3,0,0,2,53.25,9,24,3
65000,3,0,124000,1,35.65,9,5,3
68000,3,0,0,1,35.65,9,5,3
68000,3,0,0,1,35.65,9,5,3
